INSTANCE,ITER,TABLESIZE,MARKINGSIZE
read-write,1,815,107
read-write,2,3274,270
read-write,3,5904,301
read-write,4,7220,274
read-write,5,8191,265
read-write,6,8961,262
read-write,7,9556,243
read-write,8,9870,236

peterson,0,38,18
peterson,1,693,62
peterson,2,2193,136
peterson,3,4295,189
peterson,4,5832,198
peterson,5,6638,181

kanban,0,59,38
kanban,1,2023,111
kanban,2,9372,413
kanban,3,35632,1174
kanban,4,93522,2422
kanban,5,177348,3403
kanban,6,300818,4881
kanban,7,407417,4090
kanban,8,490501,3105
kanban,9,531698,1836
kanban,10,558592,1477
kanban,11,571580,1132
kanban,12,573432,1007
kanban,13,574308,887
kanban,14,574426,889
kanban,15,574568,790
kanban,16,574602,789
kanban,17,574669,768

newdekker,0,42,20
newdekker,1,817,77
newdekker,2,8389,925
newdekker,3,23463,1168
newdekker,4,37995,1374
newdekker,5,47120,1070
newdekker,6,50744,945
newdekker,7,51704,895

newrtp,0,24,13
newrtp,1,331,20
newrtp,2,498,20
newrtp,3,632,29
newrtp,4,845,28
newrtp,5,935,29

